Sn,Bi,In,Ti,Elong
92.9,3,2.5,0.1,20.85
92.7,3,2.5,0.3,23.69
92.5,3,2.5,0.5,22.84
91.9,3,3.5,0.1,19.79
91.7,3,3.5,0.3,21.6
91.5,3,3.5,0.5,15.95
91.9,4,2.5,0.1,16.44
91.7,4,2.5,0.3,16.64
91.5,4,2.5,0.5,15.66
90.9,4,3.5,0.1,18.44
90.7,4,3.5,0.3,15.22
90.5,4,3.5,0.5,16.29
90.9,5,2.5,0.1,15.72
90.7,5,2.5,0.3,14.92
90.5,5,2.5,0.5,15.05
89.9,5,3.5,0.1,13.24
89.7,5,3.5,0.3,11.91
89.5,5,3.5,0.5,11.39
86.8,5.5,5.5,0.7,11.8
86.9,5.5,5.4,0.7,13.69
86.9,5.5,5.5,0.6,12.64
92.5,2.5,3.4,0.1,21.25
92.6,2.5,3.3,0.1,26.36
92.4,2.5,3.4,0.2,23.78
92.4,1.5,4.5,0.1,18.81
92.2,1.5,4.7,0.1,22.38
92.4,1.5,4.4,0.2,24.37
