Al,Cr,Fe,Co,Ni,Cu,Ti,Si,ln(t),1/RT,ln(w)
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,2.328753921,0.112096,0.494696242
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,2.993522085,0.112096,1.244154594
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,3.405130273,0.112096,1.749199855
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,3.688390299,0.112096,2.083184528
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,3.911877702,0.112096,2.190535589
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,4.091924216,0.112096,2.422144328
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,4.246597036,0.112096,2.492378665
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,4.382396887,0.112096,2.64900766
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,4.495262577,0.112096,2.690564887
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,4.602707803,0.112096,2.884241898
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,2.328753921,0.112096,0.667829373
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,3.001014413,0.112096,1.547562509
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,3.405130273,0.112096,2.012232792
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,3.688390299,0.112096,2.473171394
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,3.918289916,0.112096,2.503073954
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,4.096926382,0.112096,2.586259144
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,4.250883903,0.112096,2.66792241
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,4.380519855,0.112096,2.72392355
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,4.496936301,0.112096,2.761906874
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,4.602707803,0.112096,2.90690106
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,2.287428147,9.45E-02,2.740388309
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,2.986537726,9.45E-02,3.529531961
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,3.400237542,9.45E-02,4.304389365
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,3.686823134,9.45E-02,4.570009221
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,3.913463936,9.45E-02,4.741011409
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,4.095002294,9.45E-02,4.886997654
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,4.251259186,9.45E-02,5.010701959
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,4.381704505,9.45E-02,5.117125172
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,4.498929804,9.45E-02,5.204297853
0.1304,0.2174,0.2174,0.2174,0.2174,0,0,0,4.60592104,9.45E-02,5.264470986
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,2.287428147,9.45E-02,3.443618098
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,2.995924265,9.45E-02,4.139843602
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,3.393284992,9.45E-02,4.385134301
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,3.692011679,9.45E-02,4.51008998
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,3.909724569,9.45E-02,4.610277123
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,4.095002294,9.45E-02,4.69577842
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,4.245920029,9.45E-02,4.77505641
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,4.384038636,9.45E-02,4.856605718
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,4.503307866,9.45E-02,4.932450304
0.1224,0.2041,0.2041,0.2041,0.2041,0,0,0.0612,4.60592104,9.45E-02,4.968319128
0.3023,0.2326,0.2326,0,0.2326,0,0,0,1.666316257,9.45E-02,2.983760902
0.3023,0.2326,0.2326,0,0.2326,0,0,0,2.327680658,9.45E-02,3.264040377
0.3023,0.2326,0.2326,0,0.2326,0,0,0,2.715050415,9.45E-02,3.326114576
0.3023,0.2326,0.2326,0,0.2326,0,0,0,2.999070074,9.45E-02,3.491586381
0.3023,0.2326,0.2326,0,0.2326,0,0,0,3.691108471,9.45E-02,3.606204117
0.3023,0.2326,0.2326,0,0.2326,0,0,0,4.091423442,9.45E-02,3.816766824
0.3023,0.2326,0.2326,0,0.2326,0,0,0,4.383425583,9.45E-02,3.864491049
0.3023,0.2326,0.2326,0,0.2326,0,0,0,4.60783357,9.45E-02,3.885658496
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,0.671073707,9.45E-02,3.022033348
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,1.755729057,9.45E-02,3.247307779
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,2.342493442,9.45E-02,3.379496955
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,2.801637708,9.45E-02,3.429979183
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,3.068381317,9.45E-02,3.53356977
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,3.323904,9.45E-02,3.634449667
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,3.595620361,9.45E-02,3.696996422
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,3.725060911,9.45E-02,3.726873454
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,3.882497332,9.45E-02,3.790804074
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,4.088046634,9.45E-02,3.863441819
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,4.166411335,9.45E-02,3.901548337
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,4.278695784,9.45E-02,3.913501911
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,4.377163611,9.45E-02,3.949164636
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,4.471314173,9.45E-02,3.978653088
0.1818,0.1818,0.1818,0.1818,0.1818,0.0909,0,0,4.569910093,9.45E-02,4.022794853
0.2,0.2,0.2,0.2,0.2,0,0,0,0.854592453,9.45E-02,3.007463196
0.2,0.2,0.2,0.2,0.2,0,0,0,1.473526702,9.45E-02,3.326330147
0.2,0.2,0.2,0.2,0.2,0,0,0,2.054360903,9.45E-02,3.53356977
0.2,0.2,0.2,0.2,0.2,0,0,0,2.363312011,9.45E-02,3.682156908
0.2,0.2,0.2,0.2,0.2,0,0,0,2.56758825,9.45E-02,3.77727945
0.2,0.2,0.2,0.2,0.2,0,0,0,2.849645406,9.45E-02,3.888795319
0.2,0.2,0.2,0.2,0.2,0,0,0,3.096485522,9.45E-02,3.972440547
0.2,0.2,0.2,0.2,0.2,0,0,0,3.26378964,9.45E-02,4.033975116
0.2,0.2,0.2,0.2,0.2,0,0,0,3.514944463,9.45E-02,4.146193536
0.2,0.2,0.2,0.2,0.2,0,0,0,3.68025775,9.45E-02,4.193178828
0.2,0.2,0.2,0.2,0.2,0,0,0,3.852744917,9.45E-02,4.23805522
0.2,0.2,0.2,0.2,0.2,0,0,0,3.988517977,9.45E-02,4.310275498
0.2,0.2,0.2,0.2,0.2,0,0,0,4.114856359,9.45E-02,4.32611744
0.2,0.2,0.2,0.2,0.2,0,0,0,4.193871258,9.45E-02,4.350290839
0.2,0.2,0.2,0.2,0.2,0,0,0,4.26463841,9.45E-02,4.385059531
0.2,0.2,0.2,0.2,0.2,0,0,0,4.346162969,9.45E-02,4.44033092
0.2,0.2,0.2,0.2,0.2,0,0,0,4.416792958,9.45E-02,4.465344742
0.2,0.2,0.2,0.2,0.2,0,0,0,4.491875444,9.45E-02,4.47555113
0.2,0.2,0.2,0.2,0.2,0,0,0,4.55528914,9.45E-02,4.545993266
0.2,0.2,0.2,0.2,0.2,0,0,0,4.596761201,9.45E-02,4.568184573
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,2.561820884,0.107105,3.729661448
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,3.302368653,0.107105,4.205125362
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,3.786518303,0.107105,4.540055499
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,4.209381526,0.107105,4.779619169
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,4.443956305,0.107105,4.934905495
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,4.677052178,0.107105,5.094473865
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,4.89242631,0.107105,5.238997206
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,5.165673778,0.107105,5.407709744
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,5.367499219,0.107105,5.541851604
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,5.57683011,0.107105,5.678608244
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,5.766627848,0.107105,5.815016704
0.1667,0.1667,0.1667,0,0.1667,0.1667,0.1667,0,5.992975981,0.107105,5.969694284
0.0909,0.1818,0.1818,0.1818,0.1818,0.1818,0,0,1.627611263,9.45E-02,3.132009892
0.0909,0.1818,0.1818,0.1818,0.1818,0.1818,0,0,2.323429219,9.45E-02,3.336018656
0.0909,0.1818,0.1818,0.1818,0.1818,0.1818,0,0,2.992855674,9.45E-02,3.6410276
0.0909,0.1818,0.1818,0.1818,0.1818,0.1818,0,0,3.695593614,9.45E-02,3.776615568
0.0909,0.1818,0.1818,0.1818,0.1818,0.1818,0,0,4.09832421,9.45E-02,4.002612972
0.0909,0.1818,0.1818,0.1818,0.1818,0.1818,0,0,4.384636217,9.45E-02,4.207866681
0.0909,0.1818,0.1818,0.1818,0.1818,0.1818,0,0,4.605172751,9.45E-02,4.287028906
0,0.2,0.2,0.2,0.2,0.2,0,0,1.627611263,9.45E-02,3.271771834
0,0.2,0.2,0.2,0.2,0.2,0,0,2.340766439,9.45E-02,3.881666885
0,0.2,0.2,0.2,0.2,0.2,0,0,3.01060539,9.45E-02,3.983264015
0,0.2,0.2,0.2,0.2,0.2,0,0,3.686685431,9.45E-02,4.395485654
0,0.2,0.2,0.2,0.2,0.2,0,0,4.09832421,9.45E-02,4.581840145
0,0.2,0.2,0.2,0.2,0.2,0,0,4.380173725,9.45E-02,4.72085324
0,0.2,0.2,0.2,0.2,0.2,0,0,4.605172751,9.45E-02,4.880313982
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,2.988776042,8.76E-02,3.262930987
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,3.409152767,8.76E-02,3.75119676
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,3.693085435,8.76E-02,3.896543819
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,3.913972577,8.76E-02,4.017283516
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.101500587,8.76E-02,4.0560714
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.253623236,8.76E-02,4.088829382
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.386190319,8.76E-02,4.208535971
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.49823534,8.76E-02,4.28562586
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.607085844,8.76E-02,4.381113718
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.701577306,8.76E-02,4.431376166
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.787905905,8.76E-02,4.493154239
0.0698,0.2326,0.2326,0.2326,0.2326,0,0,0,4.867370513,8.76E-02,4.528245944
