Temp,Rat,Time,UST,NO
220,0.02,6,20,9.921568627
220,0.05,4,8,3.640517241
220,0.033,8,10,7.612931034
220,0.1,4,8,5.300862069
220,0.02,8,10,6.821551724
220,0.1,8,10,8.218103448
220,0.033,4,8,5.487068966
220,0.02,6,4,14.12396552
220,0.05,6,4,11.30172414
220,0.033,6,4,9.276034483
220,0.025,4,8,6.557758621
220,0.025,6,4,7.79362069
220,0.033,6,16,17.40522876
220,0.025,8,30,7.496732026
220,0.05,8,10,6.495689655
220,0.1,6,4,11.59137931
220,0.025,8,10,9.149137931
220,0.025,4,14,7.424836601
220,0.02,8,26,5.836601307
220,0.02,4,8,5.238793103
200,0.033,4,8,7.038793103
200,0.05,4,8,5.471551724
200,0.025,8,10,7.147413793
200,0.1,6,30,5.37254902
200,0.033,6,4,11.33931034
200,0.05,8,10,3.73362069
200,0.05,6,14,5.562091503
200,0.1,8,16,7.980392157
200,0.1,4,8,13.36982759
200,0.025,6,26,9.104575163
200,0.025,6,4,22.45396552
200,0.1,8,20,17.59477124
200,0.1,6,4,11.89672414
200,0.02,4,8,5.952586207
200,0.05,6,4,12.50862069
200,0.033,8,10,4.18362069
200,0.1,8,10,5.937068966
200,0.02,8,10,6.092241379
200,0.025,4,8,6.262931034
200,0.02,6,4,13.06896552
180,0.025,4,8,11.10431034
180,0.033,6,4,19.44568966
180,0.05,6,30,9.254901961
180,0.05,4,8,12.31465517
180,0.02,6,4,17.28189655
180,0.02,4,16,5.503267974
180,0.02,6,20,7.60130719
180,0.1,8,10,8.125
180,0.033,4,14,8.967320261
180,0.1,4,8,8.900862069
180,0.02,4,8,13.95948276
180,0.025,6,4,21.76465517
180,0.05,4,26,6.241830065
180,0.1,6,4,22.59224138
180,0.025,8,10,12.64439655
180,0.02,8,10,8.648706897
180,0.05,8,10,8.745689655
180,0.033,4,8,18.42844828
180,0.033,8,10,10.23534483
180,0.05,6,4,21.79568966
160,0.1,6,16,9.202614379
160,0.1,4,1,14.47448
160,0.1,4,14,5.77155
160,0.033,6,30,5.869281046
160,0.1,4,8,16.6731
160,0.1,4,26,7.607843137
160,0.1,4,2,6.03414
160,0.1,4,15,4.19568
160,0.025,4,20,5.379084967
160,0.1,4,30,29.45224
160,0.1,8,14,6.235294118
160,0.1,4,16,3.01637
160,0.1,4,17,8.36465
160,0.1,4,13,8.83707
