Tem,Ratio,Time,Ultrasonic time,NO
220,0.02,8,10,6.821551724
180,0.025,6,4,21.76465517
180,0.05,6,4,21.79568966
200,0.025,4,8,6.262931034
180,0.033,4,14,8.967320261
200,0.025,6,26,9.104575163
160,0.1,6,16,9.202614379
180,0.05,6,30,9.254901961
220,0.02,6,20,9.921568627
220,0.05,4,8,3.640517241
180,0.033,8,10,10.23534483
180,0.05,4,8,12.31465517
220,0.033,4,8,5.487068966
220,0.033,6,4,9.276034483
200,0.033,6,4,11.33931034
220,0.025,4,8,6.557758621
220,0.05,8,10,6.495689655
220,0.1,6,4,11.59137931
180,0.025,8,10,12.64439655
180,0.02,4,8,13.95948276
